objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
US1923N5580-1,https://drive.google.com/thumbnail?id=16qowHQl62T12xphRk9QomI8Xs0jUYHAr&sz=s4000,,US1923N5580-1,image/png,"Country: United States of America
State:
Period: Federal Republic (1776-Present)
Year: 1923
Denomination: 1 Dollar
Mint: Philadelphia
Mintage: 30,800,000 ex.
Composition: Silver (.9000)
Weight (grams): 26.73
Diameter (mm): 38.1
Obverse Text: LIBERTY IN GOD WE TRUST AF 1923
Reverse Text: UNITED STATES OF AMERICA E PLURIBUS UNUM ONE DOLLAR PEACE
Date Purchased:
Acquired from: Wayne Miller Coins, Helena, MT",,,1923,,,,United States of America,,,,,,,,,,,,,
US1954N2835-26,https://drive.google.com/thumbnail?id=1F893GHy1XlEnYOUrK5jJcpiB2HWXDsb0&sz=s4000,,US1954N2835-26,image/png,"Country: United States of America
Period: Federal Republic (1776-Present)
Year: 1954
Denomination: Half Dollar
Mint: Philadelphia
Mintage: 13,188,202
Composition: Silver (.9000)
Weight (grams): 12.5
Diameter (mm): 30.6
Obverse Text: LIBERTY, 1954, JRS, IN GOD WE TRUST
Reverse Text: UNITED STATES OF AMERICA, ·E·, PLURIBUS, UNUM, HALF DOLLAR
Acquired from: Wayne Miller Coins, Helena MT",,,1954,,,,United States of America,,,,,,,,,,,,,
ES1810N26573-25,https://drive.google.com/thumbnail?id=1PNSABHdEERHV4sRpbUGH6BECoiAuGQ3F&sz=s4000,,ES1810N26573-25,image/png,"Country: Spain
State: Kingdom of Spain
Period: Joseph Bonaparte (1808-1813)
Year: 1810
Denomination: 4 Reales
Mint: Madrid
Mintage:
Composition: Silver (.812)
Weight (grams): 6
Diameter (mm): 26
Obverse Text: •IOSEPH•NAP• •DEI•GRATIA•, 1811
Reverse Text: •HISPANIARUM ET IND•REX. M•A•I•, 4R
Date Purchased: 11/07/2022
Acquired from: eBay Seller: holdinghistory",,,1810,,,,Spain,,,,,,,,,,,,,